Record,Democrats,Female,HomeOwners,White,Age,Commute,Education,EmployeeWage,HouseholdSize,Income,County,LogPrice,LogProfit,Month,BestBuy,Employees,Krogers,Population,Rainfall,UnemploymentRate,Year
685,0.148011245932,0.459130834629,0.443634747329,0.057379474429,63.0,27.0,19.0,59.9613656131,2.0,75.0145625648,15.0,7.13296864826,0.259898887314,4.0,1.0,9.0,1.0,176.762673424,7.51587057301,0.120711474451,2015.0
781,0.431776714345,0.549214074304,0.551981094289,0.234437019931,42.0,55.0,15.0,100.238740233,1.0,91.8651140849,17.0,6.42250771841,11.2152045633,4.0,2.0,12.0,4.0,204.923522279,7.53055969308,0.107861744198,2015.0
704,0.742654211593,0.490503947475,0.4157375312,4.94871066788e-05,66.0,51.0,15.0,111.426420007,6.0,137.899551983,15.0,11.1851070271,-5.65550763292,8.0,5.0,12.0,8.0,289.881558848,7.39674346481,0.118276670997,2018.0
671,0.851437789937,0.564177581184,0.209022347905,0.921635030621,40.0,36.0,10.0,4.88438312493,5.0,64.7395697263,14.0,6.31442082029,5.2200083329,12.0,1.0,8.0,5.0,146.946595982,4.60691616216,0.0184883501012,2017.0
345,0.681833382245,0.42224241524,0.484642536501,0.973169776219,46.0,19.0,8.0,176.362481679,6.0,85.7428201537,8.0,6.41860698221,5.80726040732,3.0,1.0,5.0,3.0,92.1064135298,5.99861178324,0.155076510673,2015.0
38,0.325645529731,0.558098104515,0.576674927521,0.537572058015,32.0,11.0,15.0,35.1880438008,4.0,124.798235315,1.0,10.2018522524,-9.44697802047,10.0,4.0,12.0,6.0,233.042606307,4.22895841314,0.180289163312,2016.0
236,0.574203213397,0.549855849069,0.456279386786,0.900678417767,39.0,32.0,6.0,27.0161935823,3.0,98.9468685864,5.0,9.08329834396,-10.1061370142,11.0,0.0,3.0,2.0,73.8064921829,7.94725729059,0.161347387887,2018.0
666,0.339046337585,0.465212670004,0.296917515986,0.212600347505,34.0,18.0,17.0,119.367921319,5.0,75.5053269831,14.0,7.07400636093,1.51077560495,11.0,3.0,6.0,3.0,162.995035274,8.99966827294,0.135764582365,2016.0
700,0.526241517848,0.48188636908,0.525301793614,0.000584683356464,25.0,9.0,21.0,160.196761988,1.0,99.4070144515,15.0,9.38590351536,-2.78310694076,7.0,1.0,5.0,2.0,121.419466354,8.67970616875,0.0264643780267,2018.0
506,0.0652535319802,0.55515387352,0.540537639036,0.51815901777,55.0,21.0,14.0,12.1438831865,7.0,102.343698442,11.0,7.53063538494,6.25159949033,7.0,0.0,2.0,0.0,49.6117687976,6.50100610573,0.0168477222956,2016.0
1003,0.648344424679,0.557415265938,0.355771169858,0.832946547973,25.0,68.0,10.0,57.4581432894,4.0,38.9289542708,21.0,3.28042630149,17.1236507918,11.0,0.0,1.0,0.0,18.7019473328,4.38424974601,0.17212612536,2017.0
267,0.0447376310029,0.473654864713,0.536398369631,0.500417998782,51.0,37.0,9.0,83.8220785156,8.0,102.674842671,6.0,8.28411108441,4.39423404336,7.0,2.0,10.0,7.0,242.453702085,4.80851122773,0.108512401882,2017.0
400,0.363627016031,0.492239896973,0.415222480258,0.0873670119564,27.0,68.0,19.0,60.0260959491,5.0,95.8388394193,9.0,7.70632204182,5.05112542664,4.0,2.0,11.0,2.0,249.323844222,8.22670590827,0.100392943193,2018.0
744,0.175279433258,0.52011268919,0.557732916331,0.135047789979,40.0,70.0,10.0,103.145649203,1.0,87.0693650188,16.0,6.58951135908,11.9247824114,6.0,1.0,5.0,2.0,120.306725048,2.87389562687,0.0691101946709,2018.0
1027,0.361519126077,0.4229348302,0.24704415018,0.929528255466,52.0,12.0,14.0,120.633017069,3.0,87.4294203212,22.0,6.1756420584,14.8313669665,5.0,4.0,11.0,2.0,215.073163952,9.08750098021,0.183333246925,2017.0
740,0.713759403165,0.46021545601,0.657771158042,0.190875105847,31.0,60.0,15.0,94.1466001633,6.0,96.4157720332,16.0,7.42179534349,12.6265043452,5.0,2.0,14.0,5.0,266.695455412,5.50964430257,0.0590376834828,2018.0
933,0.641984972111,0.545923629793,0.229239306251,0.397676480657,52.0,70.0,20.0,142.469811833,6.0,109.711193349,20.0,8.52785724528,2.72869985324,6.0,1.0,5.0,5.0,142.754338302,5.98495931481,0.0589682589414,2015.0
1083,0.530452937577,0.431049318101,0.375824442121,0.156418536107,42.0,65.0,20.0,16.2225274872,2.0,65.6841947756,23.0,6.09771145302,10.4665789223,7.0,0.0,2.0,0.0,23.7639932115,5.65664175399,0.00551421052864,2017.0
846,0.511994259433,0.431688102748,0.376139752839,0.0669438215048,42.0,11.0,7.0,102.18753334,3.0,112.653970828,18.0,9.55160722817,-6.7699796201,8.0,0.0,3.0,2.0,67.0831640947,4.60667522121,0.138300064279,2016.0
841,0.444550134454,0.478445919357,0.633979542302,0.181302819217,60.0,46.0,9.0,79.9819882752,5.0,110.686968261,18.0,8.67400794971,-0.47897883357,7.0,2.0,8.0,2.0,106.709791396,3.72310859916,0.169311508619,2015.0
32,0.414907588625,0.438018455062,0.644443561237,0.395780681787,21.0,46.0,13.0,169.97319945,5.0,116.51158051,1.0,9.5128736875,-0.613206226425,8.0,1.0,6.0,4.0,147.397716456,4.91066811761,0.159654203024,2018.0
582,0.421348190088,0.558380625669,0.516424449806,0.763615173539,69.0,12.0,8.0,114.373445204,2.0,80.5622946332,13.0,5.58558610268,12.6975011583,2.0,4.0,9.0,4.0,223.530971071,3.86066910415,0.024081438493,2016.0
1008,0.539930076226,0.530202353507,0.502446187904,0.197722120729,67.0,64.0,8.0,119.941679824,4.0,64.6202069715,21.0,4.39048092582,15.70455525,12.0,1.0,11.0,1.0,174.412930263,6.03597409495,0.0264179299217,2018.0
918,0.175633424391,0.470925861471,0.627459585744,0.0692209284333,43.0,61.0,11.0,18.1799032763,8.0,78.6122377534,20.0,7.16235341612,3.89556603933,2.0,2.0,12.0,4.0,213.445112371,9.16909083887,0.119603283229,2016.0
547,0.269675093958,0.430588869875,0.593897368908,0.473782096216,60.0,11.0,20.0,76.6503155961,2.0,124.445992694,12.0,10.1367646352,-3.7176544251,5.0,2.0,8.0,4.0,223.364516445,2.06850808404,0.0458132615482,2017.0
898,0.244770418443,0.48266289041,0.621490447982,0.972151183023,58.0,24.0,10.0,35.1631213984,5.0,132.940870395,19.0,13.2913133786,-27.2361931665,9.0,2.0,5.0,4.0,107.722608272,2.40067639823,0.152598833724,2016.0
125,0.587880924816,0.531026293155,0.318040545562,0.0872395887927,64.0,10.0,20.0,12.5679710856,6.0,67.7841721754,3.0,5.56330173251,13.1888124209,8.0,0.0,2.0,1.0,41.3156132432,8.3403100319,0.0613627931957,2015.0
122,0.195351721795,0.555967373586,0.60917419378,0.0787818366655,20.0,61.0,6.0,156.131402597,8.0,116.630462704,3.0,8.97272643079,3.51287567807,7.0,4.0,8.0,2.0,236.063912257,2.40497003111,0.0175582083214,2016.0
678,0.0609879867619,0.490874903732,0.202978264292,0.0984444273309,24.0,28.0,6.0,13.5631666555,5.0,95.1499793506,15.0,7.4372911345,-0.346567754949,2.0,1.0,5.0,4.0,120.427806838,4.57919289543,0.117756844226,2016.0
966,0.0450989783504,0.447802316125,0.347323619545,0.240719734253,19.0,35.0,6.0,137.485827806,7.0,72.3735836226,21.0,4.93485825582,16.3908703441,2.0,4.0,9.0,2.0,203.957650868,6.9070299125,0.176613094416,2016.0
161,0.441896446825,0.57924251152,0.320104268838,0.175634265387,64.0,55.0,19.0,7.94223329341,4.0,59.3340363103,4.0,4.18413225061,25.3060633581,5.0,4.0,8.0,6.0,221.193869809,6.28808343097,0.105794338519,2015.0
948,0.43823273686,0.515184107405,0.227067166427,0.915655161722,30.0,21.0,7.0,52.6027225343,3.0,90.817543393,20.0,8.38402210556,-2.60709140954,9.0,0.0,3.0,0.0,75.0782213392,4.22816228197,0.041074453924,2018.0
991,0.335337519296,0.502015862472,0.294102743729,0.47825432704,32.0,38.0,9.0,117.957051502,5.0,59.119486059,21.0,5.35381569483,18.5725745667,8.0,5.0,10.0,10.0,261.389426989,9.59164973733,0.0985968124332,2017.0
220,0.468139095595,0.456335406484,0.649404968615,0.526292215751,44.0,25.0,19.0,84.4279081764,8.0,105.81413324,5.0,9.75000007851,-9.07374887144,7.0,0.0,3.0,1.0,36.6153486719,2.16661140666,0.0519942020597,2018.0
719,0.640864599617,0.479596288873,0.475536223555,0.164619564791,25.0,5.0,7.0,48.2812290433,3.0,116.380295625,15.0,9.79167344064,-6.66280980848,12.0,2.0,13.0,11.0,292.223495611,7.20384460714,0.066507089346,2017.0
270,0.196476090817,0.427090120351,0.561091302513,0.175750485248,68.0,25.0,9.0,7.22256256955,4.0,69.8303362596,6.0,5.48374794586,17.2186106557,8.0,1.0,6.0,3.0,165.56167521,5.37961917688,0.162732741459,2016.0
376,0.760909764127,0.495430910982,0.460807541739,0.389232106621,60.0,47.0,21.0,99.1765158578,7.0,90.8680860322,8.0,6.15613704235,9.48865920605,10.0,0.0,1.0,0.0,25.0827367218,2.66645782655,0.112169446048,2018.0
842,0.29529288288,0.480833139767,0.243027222973,0.351957460978,47.0,46.0,14.0,14.1664181643,4.0,107.857083067,18.0,8.16626358038,4.53756453522,7.0,1.0,1.0,1.0,67.0703974222,7.77654585797,0.0870413118167,2016.0
233,0.147490307269,0.439476274182,0.303954567061,0.194657384076,56.0,33.0,20.0,22.0025705432,5.0,110.66911059,5.0,8.58302638804,-4.1934002546,11.0,0.0,1.0,0.0,45.9002745206,5.51581387517,0.01627009698,2015.0
218,0.0268493751462,0.57809306136,0.610844647796,0.31379113671,22.0,36.0,10.0,111.940217431,5.0,117.442197101,5.0,8.84071332968,3.98991557725,7.0,1.0,6.0,3.0,155.048528165,3.60934111453,0.0750617457456,2016.0
35,0.595924678986,0.519162029222,0.523332674145,0.944261177273,35.0,52.0,15.0,45.3119031151,2.0,106.565948657,1.0,7.80685686581,10.1246785369,9.0,2.0,11.0,10.0,267.114179272,9.72965595557,0.00963981806032,2017.0
989,0.226651505012,0.571577286157,0.298655750017,0.774481941286,49.0,59.0,17.0,85.2664540212,6.0,78.7123756685,21.0,7.28228325155,9.97141774877,8.0,5.0,11.0,2.0,256.947607282,9.48512410437,0.0860141721843,2015.0
512,0.46515240773,0.518495274846,0.222802421441,0.0800496162245,44.0,23.0,6.0,24.2985727514,3.0,89.9773445684,11.0,8.27401302323,-0.331019291282,8.0,1.0,1.0,0.0,59.0145355401,2.98693568248,0.127596923948,2018.0
1103,0.844568212929,0.461230047187,0.642747923431,0.000425849702636,38.0,7.0,16.0,177.017661746,1.0,71.3782928881,23.0,4.72446259061,13.0081724617,12.0,0.0,1.0,1.0,59.1003080247,9.70458421624,0.128868506272,2017.0
803,0.770504139303,0.420741296031,0.442363696433,0.814820531406,38.0,8.0,10.0,53.6971753204,6.0,100.168282593,17.0,8.12965297988,1.99009461802,9.0,3.0,6.0,3.0,159.344723894,7.47182497366,0.040907052593,2017.0
963,0.671264856426,0.486897608463,0.543072931565,0.488239265233,67.0,58.0,10.0,8.26445695318,1.0,52.0645383249,21.0,3.72054076251,22.0905992362,1.0,2.0,14.0,5.0,250.485905586,8.77554385098,0.0195137081275,2017.0
223,0.613997118226,0.562731944139,0.566145232535,0.588817957137,39.0,68.0,17.0,148.037273177,1.0,110.461560395,5.0,8.70630272092,1.71640770932,8.0,2.0,8.0,5.0,138.786782679,4.1176311677,0.124088657227,2017.0
788,0.607736395618,0.4959811749,0.592343019986,0.426393801484,39.0,35.0,19.0,118.647408848,2.0,85.8285240475,17.0,7.58334563643,5.6600895088,5.0,1.0,7.0,1.0,145.34966084,7.06009949908,0.129628136094,2018.0
335,0.01193263155,0.492739949538,0.557552338643,0.336638403611,46.0,8.0,14.0,13.9379843485,2.0,82.2196593819,7.0,7.1851180144,-1.58798753821,12.0,0.0,6.0,1.0,93.5850837997,2.41693126356,0.0640986610396,2017.0
1038,0.667894422708,0.516535145831,0.575624954974,0.179194958336,50.0,42.0,21.0,134.863338019,1.0,80.6689757881,22.0,7.26651363864,3.89326311072,8.0,0.0,4.0,0.0,45.2548426773,9.17437785253,0.197394815361,2016.0
1106,0.030908527057,0.426687234254,0.213643462228,0.00198743256187,50.0,52.0,19.0,130.561808711,5.0,84.8570978462,24.0,7.2137234117,-0.791810134504,1.0,0.0,1.0,0.0,12.7262622707,4.70112084104,0.0223830379729,2016.0
318,0.891675200175,0.420288763144,0.227502706219,0.00652294141741,64.0,23.0,9.0,86.9356928074,1.0,104.670522004,7.0,8.93830891156,-0.69946655631,8.0,2.0,5.0,2.0,121.98853605,4.60205451426,0.190021037242,2016.0
1085,0.71156683566,0.560804397812,0.375993968841,0.880483447956,23.0,33.0,17.0,112.487660171,1.0,74.4918893449,23.0,5.92786987489,16.840550745,8.0,4.0,8.0,4.0,221.590444767,4.27889856704,0.141635464796,2015.0
157,0.71554283481,0.438151650327,0.286013563351,0.0604703479898,25.0,12.0,18.0,182.448516356,1.0,58.591190887,4.0,3.81286024701,17.8474531516,4.0,0.0,2.0,0.0,28.382517548,9.09362340177,0.185444592418,2015.0
913,0.786777284553,0.477819573887,0.397316000151,0.963046928688,60.0,34.0,10.0,64.0797252068,5.0,93.1873967646,20.0,7.51258256779,-0.26676548265,1.0,0.0,1.0,1.0,36.9485279121,6.21952909504,0.139751255824,2015.0
134,0.819207571686,0.505225487062,0.557830699809,0.278367269836,67.0,60.0,20.0,153.812986096,3.0,62.8740593189,3.0,6.02594178446,4.99327803454,10.0,1.0,3.0,2.0,64.2634664152,6.93215659286,0.155821873523,2016.0
333,0.400204629164,0.54921500216,0.266986152995,0.229795153952,25.0,66.0,10.0,146.147300473,6.0,113.514105239,7.0,8.65641703615,-1.97069296007,12.0,3.0,8.0,1.0,159.301875529,8.39490396622,0.0833866451341,2015.0
411,0.563558177427,0.535593130928,0.442482000203,0.373266714539,20.0,28.0,7.0,136.178049628,6.0,67.8340374086,9.0,5.74994932114,12.4885493421,7.0,0.0,5.0,0.0,10.942238151,8.43814489203,0.187534754896,2017.0
926,0.453621091684,0.533692017554,0.404280789926,0.466088607194,36.0,13.0,14.0,105.179079143,1.0,91.5582689853,20.0,7.99349870841,-5.69906750714,4.0,0.0,6.0,0.0,41.406948204,9.52663460494,0.18493379112,2016.0
16,0.675036533244,0.434904560587,0.297013900187,0.117241867146,37.0,70.0,18.0,166.057866203,7.0,97.5321589768,1.0,7.71531415675,-0.22391638943,4.0,1.0,2.0,4.0,108.248992506,8.7108821268,0.0270932688271,2018.0
1140,0.677225468223,0.552208207566,0.365759524339,0.278089354022,66.0,52.0,11.0,89.6958167357,4.0,122.711598809,24.0,9.33989539049,2.12936095705,9.0,5.0,14.0,2.0,279.20096343,9.70131291816,0.119958546146,2018.0
827,0.0243680967354,0.562605453684,0.380172218817,0.106052081109,41.0,17.0,11.0,36.0619338135,7.0,92.8901960085,18.0,8.29510130571,-2.84766095132,3.0,4.0,9.0,4.0,217.489688079,7.16096930333,0.0212607706083,2017.0
1082,0.152510306682,0.454791127406,0.293086025404,0.365103201452,43.0,29.0,8.0,91.4820500484,4.0,50.7204025056,23.0,4.26706616292,16.7554205798,7.0,0.0,5.0,0.0,35.2537063953,3.15639319938,0.0375796063159,2016.0
1069,0.16282368085,0.491669103831,0.409717213395,0.22728402329,61.0,15.0,14.0,49.8105098008,3.0,76.0924378755,23.0,6.14090563363,8.82523581699,4.0,2.0,12.0,2.0,217.886302466,5.5673846826,0.172671624964,2015.0
94,0.436107656636,0.528430214809,0.571390367508,0.106226085608,36.0,54.0,18.0,57.1320020128,3.0,62.7588510935,2.0,5.7918526395,6.55564328855,12.0,0.0,5.0,2.0,64.2440237264,3.61683885125,0.168931102366,2016.0
612,0.891707233325,0.426046755679,0.270440588842,0.29497637229,33.0,54.0,16.0,4.24075785506,4.0,91.8503559394,13.0,8.66186123374,4.74131800362,9.0,2.0,13.0,11.0,275.009607841,2.34326615158,0.0809749887352,2018.0
1061,0.820196891383,0.57657466064,0.220501660808,0.291109908468,21.0,71.0,14.0,146.095792036,1.0,48.1718591805,23.0,4.17714203109,17.7630601604,2.0,2.0,9.0,6.0,230.090277956,8.27903042497,0.0504018743568,2015.0
342,0.0255552976751,0.44044654982,0.4390189563,0.31230340397,68.0,33.0,8.0,155.398508051,7.0,60.1765911496,8.0,4.26740717375,16.9376821183,2.0,1.0,9.0,1.0,188.668996128,9.56457166306,0.0359251311452,2016.0
468,0.882834947983,0.430948288656,0.336652576203,0.0813289002657,71.0,34.0,17.0,22.9251933845,3.0,96.2230161386,10.0,6.77705403351,11.27992195,9.0,2.0,7.0,1.0,135.423945013,7.83585329541,0.0306551937134,2018.0
